番号,名称,所在地,所在地2,併設,備蓄倉庫,防災用簡易井戸,耐震性井戸付貯水,耐震性貯水槽,広域避難場所
116,手賀中学校,柳戸690,千葉県柏市柳戸690,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
117,手賀西小学校,泉541,千葉県柏市泉541,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
118,県立沼南高等学校,岩井678-3,千葉県柏市岩井678-3,,FALSE,FALSE,FALSE,FALSE,FALSE
119,風早北部小学校,大井1854-1,千葉県柏市大井1854-1,防災用簡易井戸,FALSE,TRUE,FALSE,FALSE,FALSE
120,大津ケ丘中学校,大津ケ丘1-25,千葉県柏市大津ケ丘1-25,防災備蓄倉庫 耐震性貯水槽,TRUE,FALSE,FALSE,TRUE,FALSE
121,大津ケ丘第一小学校,大津ケ丘3-50,千葉県柏市大津ケ丘3-50,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
122,大津ケ丘第二小学校,大津ケ丘4-8,千葉県柏市大津ケ丘4-8,,FALSE,FALSE,FALSE,FALSE,FALSE
123,風早中学校,塚崎1319,千葉県柏市塚崎1319,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
124,大津ケ丘中央公園,大津ケ丘2-1,千葉県柏市大津ケ丘2-1,,FALSE,FALSE,FALSE,FALSE,FALSE
125,風早公園,風早2-1,千葉県柏市風早2-1,,FALSE,FALSE,FALSE,FALSE,FALSE
126,二松學舎大学、二松學舎大学附属柏中学校・高等学校,大井2590,千葉県柏市大井2590,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
127,沼南老人福祉センターいこい荘,塚崎1356,千葉県柏市塚崎1356,,FALSE,FALSE,FALSE,FALSE,FALSE
128,風早南部小学校,藤ヶ谷新田111-2,千葉県柏市藤ヶ谷新田111-2,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
129,高柳小学校,高南台3-14-12,千葉県柏市高南台3-14-12,防災用簡易井戸,FALSE,TRUE,FALSE,FALSE,FALSE
130,高柳中学校,高南台1-1-1,千葉県柏市高南台1-1-1,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
131,県立沼南高柳高等学校,高柳995,千葉県柏市高柳995,,FALSE,FALSE,FALSE,FALSE,FALSE
132,高柳西小学校,しいの木台3-2,千葉県柏市しいの木台3-2,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,FALSE
133,藤ヶ谷区民館,藤ヶ谷558,千葉県柏市藤ヶ谷558,,FALSE,FALSE,FALSE,FALSE,FALSE
134,しいの木公園,しいの木台2-11-1,千葉県柏市しいの木台2-11-1,,FALSE,FALSE,FALSE,FALSE,FALSE
135,海上自衛隊下総航空基地,藤ケ谷1614-1,千葉県柏市藤ケ谷1614-1,,FALSE,FALSE,FALSE,FALSE,FALSE
136,株式会社日立製作所 柏総合グランド,日立台1丁目2,,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,TRUE
137,県立柏の葉公園,柏の葉4丁目1,,"防災備蓄倉庫
耐震性井戸付貯水装置",TRUE,FALSE,TRUE,FALSE,TRUE
138,中原ふれあい防災公園,中原1丁目28,,"防災用簡易井戸
耐震性貯水槽",FALSE,TRUE,FALSE,TRUE,TRUE
139,大堀川防災レクリエーション公園,篠籠田119-3,,防災備蓄倉庫,TRUE,FALSE,FALSE,FALSE,TRUE
